Timestamp (ms), RPM SEC
4234753,1757
4234777,2431
4234801,1697
4234815,2733
4234837,1854
4234857,2017
4234883,1551
4234898,2587
4234933,1743
4234957,1639
4234983,2345
4235012,1335
4235041,2080
4235064,1738
4235078,2945
4235097,2067
4235121,1720
4235144,1732
4235170,1544
4235193,2599
4235217,1641
4235242,1587
4235257,2756
4235276,2079
4235297,1897
4235325,1427
4235354,2072
4235376,1845
4235393,2271
4235418,1617
4235433,2698
4235457,1622
4235476,2186
4235499,1753
4235524,1554
4235538,2918
4235556,2218
4235579,1763
4235598,2088
4235624,1529
4235638,2834
4235657,2128
4235685,1414
4235699,2862
4235725,1571
4235739,2699
4235775,1697
4235798,1721
4235815,2311
4235834,2142
4235852,2172
4235876,1707
4235890,2832
4235910,2022
4235931,1850
4235951,2050
4236021,1703
4236037,2619
4236061,1639
4236086,2373
4236102,2494
4236127,1592
4236141,2970
4236161,1994
4236185,1639
4236201,2612
4236237,1671
4236252,2668
4236287,1704
4236311,1652
4236343,2507
4236368,1618
4236392,1636
4236417,2386
4236442,1609
4236467,2374
4236492,1615
4236517,1583
4236531,2840
4236548,2336
4236572,1668
4236592,2045
4236618,1563
4236632,2788
4236654,1808
4236679,1607
4236695,2472
4236720,1597
4236736,2505
4236761,1633
4236778,2286
4236800,1839
4236828,1436
4236844,2470
4236870,1521
4236884,2907
4236904,2021
4236925,1902
4236952,1493
4236978,2288
4237001,1732
4237018,2321
4237041,1730
4237060,2152
4237083,1730
4237102,2093
4237128,1551
4237142,2792
4237178,1687
4237193,2606
4237228,1728
4237258,1965
4237281,1735
4237296,2730
4237322,1532
4237337,2681
4237362,1577
4237381,2139
4237406,1600
4237422,2470
4237445,1758
4237462,2301
4237485,1758
4237506,1944
4237531,1591
4237545,2822
4237564,2047
4237586,1876
4237608,1789
4237632,1644
4237646,2862
4237673,1502
4237687,2783
4237719,1889
4237738,2165
4237764,1536
4237782,2231
4237799,2239
4237824,1648
4237840,2444
4237863,1711
4237889,1537
4237913,1702
4237936,2588
4237962,1534
4237976,2851
4237996,1979
4238017,1958
4238042,1619
4238062,1963
4238087,1599
4238101,2869
4238121,1982
4238142,1896
4238166,1682
4238187,1902
4238217,1993
4238242,1599
4238257,2643
4238283,1554
4238299,2546
4238324,1583
4238342,2158
4238367,1618
4238393,1572
4238406,2890
4238424,2274
4238447,1772
4238467,1965
4238492,1573
4238507,2774
4238542,1683
4238558,2530
4238599,1975
4238623,1617
4238639,2549
4238664,1640
4238681,2317
4238702,1888
4238727,1583
4238748,1913
4238773,1585
4238787,2874
4238807,2010
4238828,1950
4238848,1974
4238873,1597
4238889,2576
4238929,1487
4238956,2176
4238994,2119
4239013,2076
4239037,1669
4239056,2159
4239081,1597
4239095,2904
4239115,1953
4239137,1818
4239161,1692
4239181,1987
4239206,1602
4239220,2893
4239239,2091
4239260,1852
4239280,2067
4239306,1528
4239320,2840
4239345,1637
4239362,2267
4239386,1668
4239411,1611
4239427,2453
4239444,2389
4239468,1696
4239486,2178
4239511,1597
4239527,2423
4239550,1801
4239568,2221
4239590,1774
4239611,1928
4239636,1592
4239650,2943
4239667,2309
4239690,1709
4239710,2047
4239742,1860
4239764,1837
4239779,2608
4239801,1801
4239820,2107
4239842,1851
4239863,1914
4239888,1595
4239901,2975
4239921,2027
4239942,1924
4239963,1910
4239988,1599
4240002,2940
4240022,1996
4240042,1958
4240063,1911
4240087,1674
4240103,2535
4240125,1804
4240146,1920
4240166,1965
4240191,1600
4240204,2953
4240223,2169
4240245,1815
4240266,1904
4240282,2468
4240304,1791
4240321,2379
4240345,1692
4240366,1900
4240381,2625
4240404,1718
4240421,2363
4240441,2066
4240465,1672
4240481,2464
4240499,2266
4240521,1789
4240544,1705
4240557,3048
4240577,2010
4240598,1974
4240619,1911
4240643,1606
4240657,2924
4240677,2039
4240698,1915
4240734,1649
4240749,2619
4240765,2616
4240790,1572
4240803,2973
4240824,1975
4240849,1551
4240864,2797
4240881,2285
4240912,1967
4240932,1936
4240951,2136
4240976,1599
4240992,2479
4241009,2463
4241032,1675
4241056,1667
4241081,2474
4241096,2665
4241130,1732
4241144,2828
4241163,2141
4241185,1870
4241205,1957
4241236,1938
4241257,1890
4241273,2509
4241288,2753
4241312,1642
4241334,1797
4241347,2991
4241364,2367
4241389,1657
4241411,1754
4241425,2898
4241443,2199
4241461,2243
4241486,1600
4241499,2995
4241516,2370
4241536,2043
4241566,1971
4241591,1604
4241605,2988
4241623,2133
4241641,2250
4241666,1618
4241696,1966
4241756,2368
4241774,2143
4241793,2137
4241818,1586
4241834,2450
4241849,2826
4241868,2056
4241893,1607
4241907,2910
4241924,2275
4241943,2142
4241967,1675
4241984,2356
4241999,2684
4242018,2080
4242043,1585
4242057,2944
4242075,2180
4242099,1646
4242122,2624
4242147,1616
4242160,2971
4242177,2368
4242197,2038
4242222,1600
4242237,2670
4242252,2650
